demography_model 	sample_size_per_pop 	msprime_seed 	poolseq_depth 	poolseq_seed 	ploidy 	max_log_likelihoodtheta 	n_1_est 	n_2_est 	t_split_est 	mig_rate_est 	
two_pop_split	100	2	70	3	2	-29710.42929902357	1586.0643383250995	82719.10350099822	77279.28220139636	243941.59232911665	3.5275452607507994e-06	
two_pop_split	100	2	100	2	2	-14211.066695328624	2080.6593435190684	40935.61312199848	58510.911856801526	1378.9500350651847	1.924257187403016e-06	
two_pop_split	100	3	70	2	2	-15744.184589298868	1724.574733616607	98414.48843028797	131868.42839654774	3843.0161236774934	1.6636246677133168e-06	
two_pop_split	100	2	40	2	2	-17378.065453680352	1692.152877968332	107174.9972042058	47776.4714194841	4624.97670906709	3.111927842087876e-06	
two_pop_split	200	2	10	2	2	-36337.84254968326	988.2113581015576	44241.211576857	51267.408893950684	120251.15643111152	5.712268516972068e-06	
two_pop_split	200	2	40	2	2	-35570.936039440625	1118.320203496018	70354.49700106254	70967.28540627597	148550.73170800644	5.108905657060181e-06	
two_pop_split	200	1	70	1	2	-42070.0405919703	1073.8971052834427	76878.8264915158	85810.8816701638	182856.6662470445	3.042475759134454e-06	
two_pop_split	200	2	100	3	2	-40883.52535806895	1150.3457833717398	95385.0628298971	80939.01879886296	127569.68209828695	4.266345737935364e-06	
two_pop_split	200	3	40	1	2	-26236.517566816143	1614.6121880626647	47955.49151051394	75015.68880017733	4528.267989497886	2.8757295636366677e-06	
two_pop_split	200	1	100	2	2	-40801.379042711305	1089.5214234935095	93054.3107690727	83265.091244887	166220.92416100457	4.477075331354248e-06	
two_pop_split	200	3	100	3	2	-39656.31790201433	1321.5129433821724	84671.92788650424	97323.5639270557	67177.24768291826	4.267426248020043e-06	
two_pop_split	200	3	70	1	2	-38096.37340674975	1063.8450492627712	81093.99811354921	79614.0507155479	175274.0858038892	4.872721644199823e-06	
two_pop_split	200	3	10	2	2	-32781.662102792485	1440.7886652101683	46092.69384793513	12312.877848237422	5721.280866855139	3.922433277593742e-06	
two_pop_split	200	2	40	1	2	-26657.926174354165	1491.2758660273594	72903.38277175404	71931.10223756068	4729.212096273897	1.5899076626598188e-06	
two_pop_split	200	3	40	2	2	-27954.682825002237	1298.5821817288274	76717.67567387118	111257.88711154097	6394.131524030676	3.94336016832663e-06	
two_pop_split	200	2	10	1	2	-31740.769029378203	1772.5640941183358	26602.463105350304	7934.158435785108	5314.789624932846	3.1075433575142205e-06	
two_pop_split	200	1	10	3	2	-37806.68508909929	1047.4882976510694	31715.15486059166	67207.5263220718	69736.63820616642	5.001172016710751e-06	
two_pop_split	200	1	40	3	2	-26440.94500579754	1630.4961486831155	81869.11755153179	38813.68258037825	4311.286699175749	2.134526432121168e-06	
two_pop_split	200	2	70	3	2	-37105.86301672185	1135.7628810877545	89144.13494190066	87035.39166935282	62233.5151500899	4.946105424983555e-06	
two_pop_split	200	2	40	3	2	-25432.00232635131	1723.871274870479	50547.09560411193	48061.3444362585	4451.951467739738	4.175290034158169e-07	
two_pop_split	200	3	40	3	2	-25029.693564995407	1888.448103918097	39986.753689570374	19257.777432258783	1901.1068363989828	2.938897927641698e-06	
two_pop_split	200	3	100	1	2	-23581.331105966485	2035.6387538418082	42738.19615779169	20079.224130765644	644.1372974828082	4.92893711728537e-07	
two_pop_split	200	2	70	2	2	-23940.798308709407	1909.3155977507529	55649.76478861464	29199.93864342787	1738.1346075455472	2.1155072288635495e-06	
two_pop_split	200	3	70	2	2	-25842.183077267142	1541.4686073054777	90057.79767682523	108244.71694455452	3565.2676394332243	1.895091438345031e-06	
two_pop_split	200	3	10	1	2	-31843.576263818526	1690.1876528926493	28320.6751212263	24197.906056499436	13409.905097845603	2.9750858302129447e-06	
two_pop_split	200	1	10	1	2	-32884.82042933089	1370.1815466364435	50508.80953302675	21626.81816843467	10363.273235819704	7.259994144194005e-07	
two_pop_split	200	1	10	2	2	-32192.24104073096	1547.8916090532657	14529.586183717463	35723.233377027296	5967.539075287249	3.1998421939547085e-06	
two_pop_split	200	1	100	3	2	-40772.85009347375	1256.501335710985	95139.94196971387	71547.07399048709	214704.1285403257	4.587925196927065e-06	
two_pop_split	200	1	40	1	2	-28156.24096665005	1332.6873902801162	76238.56766957098	106802.30373752778	6498.549655457986	4.2782278478505455e-06	
two_pop_split	200	2	10	3	2	-35145.22774176903	2663.327221450726	29818.18554795733	39979.80027539893	409960.4174311808	1.817036918636252e-06	
two_pop_split	200	1	70	3	2	-24576.41734579274	1838.9141361210402	61120.615709959784	52057.959369538	2655.199233587747	3.083091818978353e-06	
two_pop_split	200	1	40	2	2	-25091.92131384278	1975.0819669464336	23735.02998000075	34930.629981737664	2753.9649858084417	2.2540133413808285e-06	
two_pop_split	200	3	10	3	2	-31967.70066815882	1508.7220460981655	38838.71815604247	14415.901169008297	6272.21731678102	2.6392827722984318e-06	
two_pop_split	200	1	70	2	2	-23544.7993108751	2121.07296439526	14984.378463232404	19765.826643218854	757.0165465914537	2.7104972815447005e-06	
two_pop_split	200	3	70	3	2	-25354.976283054264	1623.8193354441992	82175.38025615086	90615.53194322663	3499.7844548450644	2.0570826121630833e-06	
two_pop_split	200	2	70	1	2	-37398.95634490138	3775.566405220876	83750.25411797766	12998.116844433114	223389.4028092965	2.6809400810467236e-07	
two_pop_split	200	2	100	1	2	-23061.918168994805	2022.682135126327	40633.43078538478	27163.791943007964	950.5115075354195	1.1437853982105592e-06	
two_pop_split	200	3	100	2	2	-22965.353549759635	2238.2123366018122	11011.9029056742	10015.116258993934	395.1733128267889	1.918694703694021e-06	
two_pop_split	200	1	100	1	2	-38890.08807369462	2122.551125711419	121235.83597977323	16432.209932613394	323118.4146559591	2.5300475921450354e-08	
two_pop_split	200	2	100	2	2	-23176.92234373614	1996.3166546284992	30486.60340229032	46922.472842195	1070.9615238311376	1.0850809214444027e-06	
